tipo,tempoTotalMs,arquivosProcessados,itensDetectados,itensCorrigidos,registradoEm
Extracao de Legendas (ASS),13101,7,14,7,2026-07-31T16:26:06.807378100Z
Extracao de Legendas (ASS),10556,3,6,3,2026-08-03T00:21:13.888926300Z
Reforço de Terminologia (ensaio),5580,47,26,0,2026-08-04T01:00:09.992626800Z
Reforço de Terminologia (ensaio),6172,47,26,0,2026-08-04T01:03:30.166507100Z
Reforço de Terminologia (ensaio),829,23,0,0,2026-08-04T01:09:15.498688800Z
Tradução de Karaokê (LLM),340899,7,150,35,2026-08-04T01:49:28.277630800Z
NOVO_KARAOKE,464,23,1147,564,2026-08-04T02:25:00.109735200Z
Reforço de Terminologia (ensaio),5172,47,2,0,2026-08-04T10:08:15.275340900Z
Reforço de Terminologia (ensaio),4944,47,2,0,2026-08-04T10:59:17.558891600Z
Extracao de Legendas (ASS),12918,23,97,23,2026-08-05T04:30:29.010884100Z
NOVO_KARAOKE,3440,23,72026,488,2026-08-05T12:38:37.258644100Z
Karaokê Simples,3440,23,44,0,2026-08-05T12:38:37.358936700Z
Extracao de Legendas (ASS),12189,6,12,6,2026-08-06T03:47:57.536925600Z
Extracao de Legendas (ASS),6785,6,6,6,2026-08-06T11:45:03.030622500Z
Auditoria de Conteudo de Legendas,28,1,25,0,2026-08-06T12:17:50.997315200Z
Auditoria de Conteudo de Legendas,15,1,25,0,2026-08-06T12:18:11.055113800Z
Auditoria de Conteudo de Legendas,27,1,25,0,2026-08-06T13:19:47.061873200Z
Auditoria de Conteudo de Legendas,17,1,25,0,2026-08-06T13:23:11.599023900Z
Auditoria de Conteudo de Legendas,42,1,25,0,2026-08-06T13:26:41.346663600Z
Extracao de Legendas (ASS),14953,6,12,6,2026-08-06T17:34:43.002689600Z
Achatar Estilos Decorativos,892,22,22,6517,2026-08-06T18:13:01.143873400Z
Achatar Estilos Decorativos,1408,23,23,13232,2026-08-06T20:00:36.345979900Z
Achatar Estilos Decorativos,29,6,0,0,2026-08-06T20:00:36.448763600Z
Achatar Estilos Decorativos,37,3,0,0,2026-08-06T20:00:36.822978400Z
Achatar Estilos Decorativos,147,22,22,785,2026-08-06T20:00:37.852065500Z
Achatar Estilos Decorativos,16,1,1,58,2026-08-06T20:00:38.652299900Z
Achatar Estilos Decorativos,372,49,49,19495,2026-08-06T20:00:39.914490700Z
Achatar Estilos Decorativos,576,50,50,8760,2026-08-06T20:00:41.025250700Z
Achatar Estilos Decorativos,24,1,0,0,2026-08-06T20:00:41.387429900Z
Achatar Estilos Decorativos,235,23,22,717,2026-08-06T20:00:42.513011600Z
Achatar Estilos Decorativos,85,6,6,2054,2026-08-06T20:00:43.273507800Z
Achatar Estilos Decorativos,126,15,15,489,2026-08-06T20:00:44.230768200Z
Achatar Estilos Decorativos,961,1,1,2589,2026-08-06T20:00:45.985714500Z
Achatar Estilos Decorativos,25,1,1,92,2026-08-06T20:00:46.075140200Z
Achatar Estilos Decorativos,124,13,13,1164,2026-08-06T20:00:47.014545100Z
Achatar Estilos Decorativos,483,7,7,20636,2026-08-06T20:00:48.288143800Z
Achatar Estilos Decorativos,1453,15,15,2634,2026-08-06T20:00:50.179320700Z
Troca de Fontes ASS,424,23,0,0,2026-08-06T21:35:03.652188400Z
Extracao de Legendas (ASS),74433,127,217,127,2026-08-07T02:31:55.588220500Z
Tradução de Karaokê (LLM),2669438,25,3283,2156,2026-08-07T21:13:57.356229400Z
Tradução de Karaokê (LLM),27516,23,22,15,2026-08-07T21:16:28.782832800Z
Remux (mkvmerge),40343,22,22,11,2026-08-07T23:09:35.075644700Z
Tradução de Karaokê (LLM),1031,23,0,0,2026-08-07T23:13:38.983669200Z
Tradução de Karaokê (LLM),1349,23,0,0,2026-08-07T23:14:01.191317800Z
Tradução de Karaokê (LLM),751,23,0,0,2026-08-07T23:16:50.512599900Z
Remux (mkvmerge),47983,22,22,22,2026-08-07T23:18:38.905831500Z
Tradução de Karaokê (LLM),91544,3,61,23,2026-08-07T23:40:50.813078700Z
Tradução de Karaokê (LLM),658848,23,633,364,2026-08-08T00:13:08.223229400Z
Troca de Fontes ASS,320,26,24,24,2026-08-08T13:27:12.756665200Z
Revisão Legendas (.ass Google),9745,18,14,11,2026-08-08T13:30:55.876033Z
Revisão Concordância (.ass LLM),7494,18,3,3,2026-08-08T13:31:12.311534500Z
Revisão Legendas (.ass Google),9753,26,11,5,2026-08-08T17:58:17.457721300Z
Revisão Concordância (.ass LLM),18000,26,6,1,2026-08-08T17:59:05.812692400Z
Revisao de Lore (.ass LLM),394243,13,421,6,2026-08-08T18:06:35.800706500Z
Revisão de Concordância,392,26,2,2,2026-08-08T18:07:16.260833700Z
Tradução de Karaokê (LLM),1617077,26,1636,344,2026-08-08T18:34:55.876256500Z
Renomear Arquivos,148,26,25,25,2026-08-08T20:18:11.415675100Z
Renomear Arquivos,111,26,25,25,2026-08-08T20:18:57.470459300Z
Remux (mkvmerge),18472,13,12,12,2026-08-08T20:19:32.569545500Z
Karaokê Simples (simulação),1804,26,50,0,2026-08-08T20:30:32.208283100Z
NOVO_KARAOKE,993,26,3400,818,2026-08-08T20:30:36.758751200Z
Karaokê Simples,993,26,50,0,2026-08-08T20:30:36.825534Z
Tradução de Karaokê (LLM),1634119,26,1636,378,2026-08-08T21:07:07.575479800Z
Tradução de Karaokê (LLM),398412,13,818,818,2026-08-09T22:33:48.455382900Z
Revisão Legendas (.ass Google),7081,13,8,7,2026-08-09T22:35:20.671210800Z
Revisão Concordância (.ass LLM),9407,13,2,1,2026-08-09T22:35:45.276817400Z
Revisão Legendas (.ass Google),3883,13,2,0,2026-08-09T22:36:39.477561Z
Revisao de Lore (.ass LLM),509349,13,426,2,2026-08-09T22:45:41.625835700Z
Renomear Arquivos,79,13,13,13,2026-08-09T22:59:01.481302300Z
Remux (mkvmerge),21243,13,13,13,2026-08-09T23:07:01.004427100Z
Troca de Fontes ASS,128,13,12,12,2026-08-09T23:46:53.521195100Z
Remux (mkvmerge),19925,13,13,13,2026-08-09T23:47:46.235580200Z
Troca de Fontes ASS,513,50,50,50,2026-08-10T01:41:47.145516100Z
Revisão Legendas (.ass Google),500262,50,1828,913,2026-08-10T01:55:00.724002800Z
Revisão Legendas (.ass Google),415832,50,770,760,2026-08-10T02:44:14.611186500Z
Revisão Concordância (.ass LLM),60401,50,10,4,2026-08-10T02:45:41.450586900Z
Revisao de Lore (.ass LLM),3651937,90,16298,49,2026-08-10T12:21:20.471674Z
Revisão de Concordância,559,50,0,0,2026-08-10T13:04:11.227706300Z
Tradução de Karaokê (LLM),23397,50,54,54,2026-08-10T13:04:58.161036600Z
Correção Google (cache),44899,50,20,19,2026-08-11T11:33:58.748518200Z
Reforço de Terminologia (ensaio),8531,50,1,0,2026-08-11T11:52:59.274834100Z
Reforço de Terminologia,9331,50,1,1,2026-08-11T11:55:06.955509300Z
Revisão de Concordância,7285,73,2,2,2026-08-11T19:46:11.058412204Z
Auditoria de Conteudo de Legendas,111,1,2,0,2026-08-11T19:58:23.415017262Z
Auditoria de Conteudo de Legendas,88,1,2,0,2026-08-11T19:58:31.376647470Z
Auditoria de Conteudo de Legendas,70,1,2,0,2026-08-11T19:58:40.749150223Z
Troca de Fontes ASS,374,22,22,120,2026-08-12T14:33:44.598609Z
Achatar Estilos Decorativos,1024,22,21,0,2026-08-12T14:33:54.065293400Z
Revisão Legendas (.ass Google),6908,22,3,0,2026-08-12T22:26:10.395306100Z
Revisão Concordância (.ass LLM),8112,22,3,0,2026-08-12T22:26:27.733536800Z
