registradoEm,nomeEpisodio,animeNome,temporada,loreNome,modeloLlm,statusFinal,totalLinhas,falasTraduzidas,falasDoCache,tempoTotalMs,quantidadeAvisos
2026-07-24T01:09:37.300536Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E01_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam 0083: Stardust Memory,mistralai/mistral-nemo-instruct-2407,PARCIAL,346,334,0,347414,2
2026-07-24T01:09:58.390503700Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E02_5_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam 0083: Stardust Memory,mistralai/mistral-nemo-instruct-2407,PARCIAL,24,20,0,21085,1
2026-07-24T01:15:16.044483500Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E02_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam 0083: Stardust Memory,mistralai/mistral-nemo-instruct-2407,CONCLUIDO,358,347,0,317647,0
2026-07-24T01:17:12.542226100Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E03-5_Track2.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam 0083: Stardust Memory,mistralai/mistral-nemo-instruct-2407,CONCLUIDO,93,92,0,116495,0
2026-07-24T01:21:56.790710800Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E03_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam 0083: Stardust Memory,mistralai/mistral-nemo-instruct-2407,PARCIAL,329,318,0,284243,1
2026-07-24T01:27:35.730511200Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E04_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam 0083: Stardust Memory,mistralai/mistral-nemo-instruct-2407,PARCIAL,370,356,0,338936,2
2026-07-24T01:33:53.900313900Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E05_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam 0083: Stardust Memory,mistralai/mistral-nemo-instruct-2407,PARCIAL,390,382,0,378165,1
2026-07-24T01:38:27.360530800Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E06_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam 0083: Stardust Memory,mistralai/mistral-nemo-instruct-2407,PARCIAL,303,299,0,273456,1
2026-07-24T01:43:51.266591700Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E07_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam 0083: Stardust Memory,mistralai/mistral-nemo-instruct-2407,PARCIAL,352,343,0,323904,6
2026-07-24T01:49:25.611942900Z,Mobile Suit Gundam 0083 - Stardust Memory - S01E08_Track3.ass,[Joseki] Mobile Suit Gundam 0083 Stardust Memory COMPLETE (1991)(BD AV1 1080p Opus)[Sub Eng],Temporada Única,Mobile Suit Gundam 0083: Stardust Memory,mistralai/mistral-nemo-instruct-2407,PARCIAL,411,403,0,334341,1
